
"pretendere","vt. (esigere) to demand; (presumere) to presume; (affermare) to claim; avere pretenduto"
"prevalere","vi. (predominare) to prevail; essere prevaluto"
"prevedere","vt. (anticipare) to foresee, (programmare) to plan; (prescrivere) to provide for; avere preveduto"
"prevenire","vt. (anticipare) to anticipate; (impedire) to prevent; (avvertire) to warn; avere prevenito"
"produrre","vt. <produco> (gener) to produce; (opera) to write; (causare) to cause; avere prodotto"
"prodursi","vr. <produco> THEAT to appear; (formarsi) to develop; essersi prodotto"
"proibire","vt. <proibisco> (vietare) to forbid; avere proibito"
"promettere","vt. to promise; avere promettuto"
"promuovere","vt. (gener) to promote; (a scuola, a un esame) to pass; avere promuovuto"
"proporre","vt. (suggerire) to propose; avere"
"proteggere","vt. <proteggo> (difendere) to protect, (soccorrere) to defend; avere protetto"
"proteggersi","vr. <proteggo> to protect oneself; essersi protetto"
"provare","vt. TECH, scient (gener) to try, (gener) to test, (abito, scarpe) to try on; (indebolire) to weaken; (dolore, simpatia, pietà) to feel; (dimostrare) to prove; MUS, THEAT, film to rehearse; avere provato"
"provarsi","vr. (osare) to dare; essersi provato"
"pulire","vt. <pulisco> to clean; avere pulito"
"pulirsi","vr. <pulisco> to clean oneself up; essersi pulito"
"pungere","vt. <pungo> (soggetto: spina, spillo) to prick, (insetto, ortica) to sting; (offendere) to offend; avere punto"
"pungersi","vr. <pungo> to prick oneself; essersi punto"
"punire","vt. <punisco> (bambino, criminale) to punish; avere punito"
"puntare","vt. (appoggiare) to brace; (dirigere) to point; avere puntato"
"puntare","vi. ; avere puntato"
"puntellare","vt. (muro) to prop up; avere puntellato"
"racchiudere","vt. (contenere) to contain; (implicare) to imply; avere racchiuduto"
"raccomandare","vt. (affidare alle cure) to entrust; (consigliare) to advise; (appoggiare: candidato) to recommend; avere raccomandato"
"raccomandarsi","vr. ; essersi raccomandato"
"raccontare","vt. (riferire) ; avere raccontato"
"radere","vt. <rado> (barba, baffi) to shave; (sfiorare) to graze; avere raso"
"radersi","vr. <rado> (barba, baffi) to shave; essersi raso"
"radunare","vt. to gather together; avere radunato"
"radunarsi","vr. to gather; essersi radunato"
"rafforzare","vt. (rinforzare) to reinforce; (carattere) to strengthen; avere rafforzato"
"rafforzarsi","vr. to get stronger; essersi rafforzato"
"raggiungere","vt. (meta, vetta) to reach, (persone) to join; (obiettivo) to achieve; (colpire: bersaglio, cuore) to hit; avere raggiunguto"
"ragionare","vi. (riflettere) to think; avere ragionato"
"rallentare","vt. (rendere più lento) to slow down; (diventare meno intenso) to slacken; avere rallentato"
"rallentare","vi. to slow down; avere rallentato"
"rappresentare","vt. (raffigurare) to depict; (simboleggiare) to represent; THEAT (pezzo teatrale) to stage, (ruolo) to play; (agire per conto di) to represent; avere rappresentato"
"rassicurare","vt. to reassure; avere rassicurato"
"rassicurarsi","vr. to be reassured; essersi rassicurato"
"reagire","vi. <reagisco> to react; avere reagito"
"realizzare","vt. to realize; avere realizzato"
"realizzarsi","vr. (aspirazioni) to come true; (come persona) to find fulfillment; essersi realizzato"
"recedere","vi. <recedo> (tirarsi indietro) to withdraw; avere receduto"
"recitare","vt. (poesia, lezioni, orazioni) to recite; THEAT, film to act; avere recitato"
"recitare","vi. (fingere) to pretend; avere recitato"
"reclutare","vt. to recruit; avere reclutato"
"regalare","vt. (gener) to give; COMM (vendere a buon mercato) to give away; avere regalato"
"regolare","vt. (ordinare) to organize; (sistemare) to fix; COMM (conto) to settle, (debito) to repay; TECH to adjust, (orologio) to set; avere regolato"
"regolarsi","vr. (comportarsi) to behave; (controllarsi) to control oneself; essersi regolato"
"resistere","vi. <resisto> ; avere resistito"
"respirare","vi. BIOL to breathe; (riposarsi) to have a rest; avere respirato"
"respirare","vt. to breathe; avere respirato"
"restare","vi. (continuare a stare) to remain; (diventare) to be; (avanzare) to be left; (essere situato) to be; essere restato"
"restituire","vt. <restituisco> (libro, vestito, CD) to give back, (soldi) to refund; avere restituito"
"riassumere","vt. (operaio) to re-employ; (carica, funzione) to take on again; (riepilogare) to recap; avere riassumuto"
"ribattezzare","vt. REL to rebaptize; (dare un nuovo nome a) to rename; avere ribattezzato"
"ricevere","vi. (medico, professore) to receive patients; avere ricevuto"
"ricevere","vt. (ospiti, regalo, lettera,) to receive; (insulto, condanna) to get; (sacramento) to be given; RADIO, TELEC to pick up; avere ricevuto"
"richiedere","vt. (chiedere di nuovo) to ask again; (con fermezza: aiuto, sostegno, sussidio) to request; ADMIN (congedo, permesso di soggiorno) to apply for; (esigere: concentrazione, impegno) to require; (parere) to ask for; (libri, oggetti prestati) to request the return of; avere richieduto"
"riconoscere","vt. (persona, oggetto) to recognize; (distinguere: intenzioni, verità, qualità) to distinguish; (ammettere: errori) to admit; (stato di emergenza, calamità naturale) to declare; (considerare: colpevole, conforme) to find; LAW, POL (Stato, ente) to recognize, (figlio) to acknowledge; avere riconoscuto"
"riconoscersi","vr. (colpevole, capace, incapace) to admit; essersi riconoscuto"
"ricorrere","vi. (tornare indietro) to rush back; (festa, anniversario) to take place; (ripetersi: evento, fenomeno) to recur; (comparire: parola) to appear; essere ricorruto"
"ridere","vi. <rido> to laugh; avere riso"
"ridersi","vr. <rido> (infischiarsene) to not care; essersi riso"
"ridurre","vt. <riduco> (diminuire: impegni, tasse, velocità) to reduce; MATH to reduce; avere ridotto"
"ridursi","vr. <riduco> (diventare) to be reduced; (diminuire) to decrease; essersi ridotto"
"riempire","vt. (bicchiere, sacco) to fill; (modulo) to fill in; avere riempito"
"riempirsi","vr. (diventare pieno: d'acqua, persone) (di brufoli, macchie) to be covered in <acronym title=something"">sth</acronym>; essersi riempito"""
"rientrare","vi. (entrare di nuovo) to come <span class=target"">[<span class=""or""><acronym title=""or"">or</acronym></span> go]</span> back in; (tornare) to return","(a casa) to come <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> go]</span> home; (piegarsi in dentro) to recede; essere rientrato"""
"rifare","vt. (esame) to retake, (compito) to redo; (stanza) to clean, (letto) to make; (imitare) to imitate; (compensare) to compensate; (compiere un'altra volta) to do again; avere rifato"
"rifarsi","vr. (diventare nuovamente) to become again; essersi rifato"
"riferire","vt. <riferisco> (riportare: fatto, episodio) to report; avere riferito"
"riferire","vi. <riferisco> (presentare una relazione) ; avere riferito"
"riferirsi","vr. <riferisco> (alludere) to allude to <acronym title=something"">sth</acronym>; essersi riferito"""
"rifiutare","vt. (non accettare: proposta, invito) to turn down, (consigli) to reject; avere rifiutato"
"rifiutarsi","vr. ; essersi rifiutato"
"riflettere","vt. to reflect; avere riflettuto"
"riflettere","vi. ; avere riflettuto"
"riflettersi","vr. (specchiarsi) to be reflected; essersi riflettuto"
"rifondere","vt. (statua, metallo) to melt down again; (danni) to pay compensation for, (spese) to reimburse; avere rifonduto"
"riguardare","vt. (guardare di nuovo) to look at again; (rivedere) to revise, (ricontrollare) to check; (concernere) to concern; avere riguardato"
"riguardarsi","vr. (aver cura della salute) to look after oneself; essersi riguardato"
"rimanere","vi. <rimango> (restare) to stay; (avanzare) to be left; essere rimasto"
"rimproverare","vt. (biasimare) to tell off; avere rimproverato"
"rimproverarsi","vr. ; essersi rimproverato"
"rinchiudere","vt. (prigioniero, gioielli) to shut up; avere rinchiuduto"
"rinchiudersi","vr. (chiudersi) to shut oneself up; (in se stesso) to withdraw into one&#39;s shell; essersi rinchiuduto"
"rincuorare","vt. (dare coraggio) to give strength; avere rincuorato"
"rincuorarsi","vr. (riprendere coraggio) to take heart; essersi rincuorato"
"rinfrancare","vt. (ridare coraggio) to encourage; avere rinfrancato"
"rinfrancarsi","vr. (riacquistare fiducia) to take heart; essersi rinfrancato"
"ringraziare","vt. ; avere ringraziato"
"rinnovare","vt. (rendere nuovo: sito, offerta, direttivo) to change; (contratto, abbonamento, alleanza) to renew; (domanda, istanza) to repeat; avere rinnovato"
"rinnovarsi","vr. (diventare nuovo) to change; essersi rinnovato"
"rinunciare","vi. ; avere rinunciato"
"ripagare","vt. ; avere ripagato"
"riparare","vt. (accomodare: abiti, radio, muro) to fix; (proteggere: da sole, vento) to protect; (rimediare a: torto, ingiustizia) to put right; avere riparato"
"riparare","vi. (provvedere) ; avere riparato"
"ripararsi","vr. (cercare riparo) to shelter; (proteggersi) to protect oneself; essersi riparato"
"ripassare","vi. (ritornare) to call in again; essere ripassato"
"ripassare","vt. (passare sopra) to go over again; (ripetere: lezione) to revise; essere ripassato"
"ripetere","vt. (rifare: esperimento, esame) to repeat; (ripassare: lezione) to go over again; (ridire) to repeat; avere ripetuto"
"ripetersi","vr. (dire o fare le stesse cose) to repeat oneself; (accadere di nuovo) to happen again; essersi ripetuto"
"riportare","vt. (portare di nuovo o indietro) to take back; (riferire: notizie, dichiarazioni) to report; (ricavare: impressione) to get; MATH to carry over; (ottenere: vittoria, utile) to achieve; (subire: danni) to suffer; dir (condanna) to receive; avere riportato"
"riportarsi","vr. ; essersi riportato"
"riposare","vi. (dormire) to sleep; (fermarsi) to stop; avere riposato"
"riposare","vt. (mente, membra, vista) to rest; (posare di nuovo) to put back again; avere riposato"
"riposarsi","vr. (dormire) to sleep; (prendere ristoro) to rest; essersi riposato"
"riposare","vi. (dormire) to sleep; (fermarsi) to stop; avere riposato"
"riposare","vt. (mente, membra, vista) to rest; (posare di nuovo) to put back again; avere riposato"
"riposarsi","vr. (dormire) to sleep; (prendere ristoro) to rest; essersi riposato"
"riprendere","vt. (prendere di nuovo) to pick up again; (prendere indietro) to get back; (ricominciare) to start again; (rimproverare) to tell off; film to shoot; avere riprenduto"
"riprendere","vi. (ricominciare) to start again; avere riprenduto"
"riprendersi","vr. (ricuperare vigore) to recover; essersi riprenduto"
"risaltare","vi. (spiccare, eccellere) to stand out; essere risaltato"
"riscaldare","vt. (minestra) to warm up again; (stanza, casa) to heat; avere riscaldato"
"riscaldarsi","vr. (diventare caldo) to get warm; essersi riscaldato"
"rischiare","vt. to risk; avere rischiato"
"rischiare","vi. ; avere rischiato"
"risciacquare","vt. (stoviglie, bucato) to rinse; avere risciacquato"
"riscontrare","vt. (rilevare: diffetto, irregolarità) to identify; (confrontare) to compare; (avere: successo) to enjoy; avere riscontrato"
"riscontrare","vi. (corrispondere) to match; essere riscontrato"
"risiedere","vi. (abitare) to be based; avere risieduto"
"risolvere","vt. <risolvo> (equazione, problema, indovinello) to solve, (questione, controversia) to resolve; (dubbio) to settle; LAW (contratto) to cancel; avere risolto [o risoluto]"
"risolversi","vr. <risolvo> (problema, questione) to resolve oneself; essersi risolto [o risoluto]"
"rispettare","vt. (persone, opinioni, diritti) to respect; (ordini) to obey; (feste) to observe; (mantenere: parola) to keep; avere rispettato"
"rispondere","vi. <rispondo> (dare una risposta) to answer; (replicare) to answer back; avere risposto"
"risultare","vi. (derivare) to be shown; (essere accertato) to be clear; (rivelarsi) to prove to be; essere risultato"
"ritenere","vt. (considerare) to consider; (trattenere: somma, importo) to deduct; avere ritenuto"
"ritenersi","vr. (considerarsi) to consider oneself; essersi ritenuto"
"ritenere","vt. (considerare) to consider; (trattenere: somma, importo) to deduct; avere ritenuto"
"ritenersi","vr. (considerarsi) to consider oneself; essersi ritenuto"
"ritornare","vi. (venire di nuovo) to go <span class=target"">[<span class=""or""><acronym title=""or"">or</acronym></span> come]</span> back; (ricomparire) to return; (ridiventare) to become again; essere ritornato"""
"riunire","vt. <riunisco> (elementi) to unite; (mettere insieme: pezzi, fogli) to gather; (riconciliare: coniugi) to reconcile; (convocare: squadra) to gather together; avere riunito"
"riunirsi","vr. <riunisco> (fare una riunione) to meet; (tornare insieme: squadra) to reunite; essersi riunito"
"riuscire","vi. (avere esito: foto, film) to come out; (risultare) to be; (avere successo) to succeed; essere riuscito"
"rivolgere","vt. to turn; avere rivolguto"
"rivolgersi","vr. (per chiedere aiuto, informazioni) to go and see <acronym title=somebody"">sb</acronym>; essersi rivolguto"""
"rompere","vt. <rompo> (vetro, vaso) to smash, (bastone) to break; (silenzio, incanto) to break; (interrompere: amicizia) to break off, (dieta) to stop; (file, righe) to break; avere rotto"
"rompere","vi. <rompo> (troncare) ; avere rotto"
"rompersi","vr. <rompo> (spezzarsi: vaso, bicchiere) to smash; (macchina, radio, lavatrice) to break down; essersi rotto"
"ronzare","vi. to buzz; avere ronzato"
"russare","vi. to snore; avere russato"
"salire","vt. <salgo> (scale, gradini, montagna) to climb; essere salito"
"salire","vi. <salgo> (gener) to go up; (aereo, strada, sentiero) to climb; (catena montuosa, fumo, urla) to rise; (montare: sul treno) to get on, (sull'auto) to get in; (aumentare: livello, numero, temperatura) to rise; (diventare più caro: prezzo, affitto, frutta) to go up (in price); essere salito"
"saltare","vi. (da terra) to jump; essere saltato"
"saltare","vt. (ostacolo) to jump (over); FOOD to sauté; (omettere, non frequentare) to skip; essere saltato"
"salutare","vt. to greet; avere salutato"
"salutarsi","vr. (incontrandosi) to greet one another, (lasciandosi) to say goodbye to one another; essersi salutato"
"salvare","vt. a. COMPUT (gener) to save; (proteggere: onore, reputazione) to preserve; avere salvato"
"salvarsi","vr. (dalla morte) to survive; (trovare scampo) to find safety; essersi salvato"
"sapere","vt. <so> (gener) to know; (essere in grado di fare qualcosa) to know how to; (apprendere) to find out; avere saputo"
"sapere","vi. <so> ; avere saputo"
"sbarazzarsi","vr. ; essersi sbarazzato"
"sbrigare","vt. (faccenda, questione) to deal with; avere sbrigato"
"sbrigarsi","vr. (affrettarsi) to hurry up; to deal with <acronym title=something"">sth</acronym> oneself; essersi sbrigato"""
"sbucare","vi. (animale) to pop out; (apparire improvvisamente) to appear; essere sbucato"
"scaldare","vt. (acqua) to boil, (minestra) to heat (up), (stanza, motore) to warm (up); (agitare: animi, testa) to stir up; avere scaldato"
"scaldarsi","vr. a. SPORTS (diventare caldo) to warm up; (accalorarsi, irritarsi) to grow heated; essersi scaldato"
"scambiare","vt. (fare uno scambio) to exchange; (impressioni, opinioni) to share, (parole) to exchange; avere scambiato"
"scambiarsi","vr. (sostituirsi) to change over; (dare l'un l'altro) to exchange; essersi scambiato"
"scampare","vi. (sfuggire: a pericolo, morte, massacro) to escape; essere scampato"
"scampare","vt. (sfuggire a: morte, prigione) to escape; essere scampato"
"scappare","vi. (darsi alla fuga) to flee; (di prigione) to escape; (andar via in fretta) to run; (sfuggire) to slip out; essere scappato"
"scaraventare","vt. (gettare con impeto) to hurl; avere scaraventato"
"scaraventarsi","vr. (gettarsi con impeto) to hurl oneself; essersi scaraventato"
"scegliere","vt. <scelgo> to choose; avere scelto"
"scendere","vi. <scendo> (andare giù) to go down; (smontare: da macchina) to get out of, (da bus, treno) to get off, (da cavallo) to dismount; (essere in pendenza) to descend; (calare) to drop, (notte) to fall, (sole) to set; (di grado) to decline; essere sceso"
"schermare","vt. (proteggere mediante schermo) to screen; avere schermato"
"schiamazzare","vi. ZOOL (galline) to squawk, (oche) to cackle; (persone) to make a racket; avere schiamazzato"
"scivolare","vi. (perdere l'equilibrio) to slip; (scorrere) to slide; essere scivolato"
"scomparire","vi. (sparire) to disappear; (morire) to die; (fare poca figura) to fade into the background; essere scomparito"
"scompigliare","vt. (capelli) to mess up; avere scompigliato"
"sconfiggere","vt. <sconfiggo> a. MIL to defeat; (eliminare) to overcome; avere sconfitto"
"scongiurare","vt. (pregare) to beg; (pericolo, disastro, tragedia) to avert; avere scongiurato"
"scontrarsi","vr. (treno, auto) to crash; MIL to clash; (divergere) to differ; essersi scontrato"
"sconvolgere","vt. (turbare profondamente) to devastate; (piano, progetto) to upset; avere sconvolguto"
"scoprire","vt. <scopro> (gener) to discover; (pentola, statua, gambe) to uncover; (palesare) to reveal; avere scoperto"
"scoprirsi","vr. <scopro> (spogliarsi) to take some clothes off; (rivelarsi) to give oneself away; essersi scoperto"
"scovare","vt. (lepre, volpe) to flush; (scoprire) to discover; avere scovato"
"scrivere","vt. <scrivo> to write; avere scritto"
"scrosciare","vi. (fiume) to thunder, (pioggia, acqua) to pour (down); essere scrosciato"
"scrutare","vt. (osservare intensamente) to scrutinize; avere scrutato"
"scuotere","vt. <scuoto> to shake; avere scosso"
"scuotersi","vr. <scuoto> (dal torpore) to shake oneself; (turbarsi) to be shaken; essersi scosso"
"scurire","vt. <scurisco> (colore, metallo) to make darker; essere scurito"
"scurirsi","vr. <scurisco> (colore, capelli, pelle, metallo) to become darker; essersi scurito"
"scusare","vt. to excuse, (perdonare) to forgive; avere scusato"
"scusarsi","vr. ; essersi scusato"
"seccare","vt. (terreno, aria) to dry (out), (fiori) to wither; (infastidire) to annoy; essere seccato"
"seccarsi","vr. (diventare secco: frutta, pianta) to wither, (pelle) to dry out; (diventare asciutto) to dry up; essersi seccato"
"sedere","vi. <siedo> to be sitting; essere seduto"
"sedersi","vr. <siedo> to sit (down); essersi seduto"
"sedurre","vt. <seduco> (donna, uomo) to seduce; (attrarre) to appeal to; avere sedotto"
"segnare","vt. (gener) to mark; (prendere nota di) to jot down; SPORTS (gol, punto) to score; (indicare: orologio, termometro) to show; avere segnato"
"segnarsi","vr. (fare il segno della croce) to cross oneself; essersi segnato"
"seguire","vt. (corso di studi) to take; (con lo sguardo) to watch, (con l'attenzione) to follow; essere seguito"
"seguire","vi. (venir dopo, derivare) to follow; (continuare) to continue; essere seguito"
"seminare","vt. (campo, grano, odio, discordia) to sow; SPORTS to leave behind; (inseguitore) to shake off; avere seminato"
"sentire","vt. (con le orecchie) to hear, (ascoltare) to listen to; (con il naso) to smell; (col gusto) to taste; (col tatto) to feel; (provare, accorgersi) to feel; (venire a sapere) to hear; avere sentito"
"sentirsi","vr. to feel; essersi sentito"
"separare","vt. (disgiungere) to separate; (tenere distinto) to distinguish; avere separato"
"separarsi","vr. (lasciarsi: coniugi) to separate, (amici, soci) to part company; essersi separato"
"seppellire","vt. <seppellisco> to bury; avere seppellito [o sepolto]"
"servire","vt. (gener) to serve, (come domestico) to work; essere servito"
"servire","vi. (essere utile) to be useful; MIL, SPORTS to serve; essere servito"
"servirsi","vr. (a tavola) to help oneself; (essere cliente) to shop; essersi servito"
"sfidare","vt. (gener) to challenge; (pericolo, morte) to defy; avere sfidato"
"sfogliare","vt. (libro, rivista) to flick through; avere sfogliato"
"sfuggire","vi. ; essere sfuggito"
"sgomentare","vt. to dismay; avere sgomentato"
"sgualcire","vt. <sgualcisco> (sciupare: abito) to crush; avere sgualcito"
"sistemare","vt. (mettere a posto) to tidy (up); (faccenda) to sort out; (procurare un lavoro) to fix up; (procurare un alloggio a) to put; (punire) to chew out; avere sistemato"
"sistemarsi","vr. (trovare lavoro) to find a job; (trovare alloggio) to find a place to stay; (sposarsi) to settle down; essersi sistemato"
"smaltire","vt. <smaltisco> (digerire: cibo) to digest; (far passare: sbornia, rabbia) to get over; (eliminare: acque) to drain away, (rifiuti) to dispose of; avere smaltito"
"smantellare","vt. (mura) to demolish, (fabbrica) to shut down; (tesi,accusa) to take apart; avere smantellato"
"smettere","vt. (interrompere: lavoro) to stop, (studi) to give up, (discussione) to end; avere smettuto"
"smettere","vi. (cessare) to stop; avere smettuto"
"sminuire","vt. <sminuisco> (svalutare) to belittle; avere sminuito"
"smontare","vt. (scomporre: scaffare, motore) to take apart; (scoraggiare) to dishearten; essere smontato"
"smontare","vi. (scendere: da treno) to get off, (da cavallo) to dismount; (di turno, lavoro) to finish; essere smontato"
"smontarsi","vr. (scoraggiarsi) to lose heart; essersi smontato"
"soddisfare","vt. to satisfy; avere soddisfato"
"soffiare","vi. to blow; avere soffiato"
"soffiare","vt. (aria, fumo, vetro) to blow; (portar via) to steal, to swipe; (spifferare: segreto) to whisper; avere soffiato"
"soffrire","vt. <soffro> (patire) to suffer; (sopportare) to bear; avere sofferto"
"soffrire","vi. <soffro> (patire) to suffer; avere sofferto"
"soggiogare","vt. (sottomettere) to subjugate; avere soggiogato"
"sognare","vt. (vedere in sogno) to dream; (desiderare) to dream of; avere sognato"
"somigliare","vi. (essere simile) to look like; avere somigliato"
"somigliarsi","vr. (essere simile: fisicamente) to look alike, (di carattere) to be alike; essersi somigliato"
"sopportare","vt. (peso, sofferenza, spese) to bear; (persona, caldo, freddo) to stand; avere sopportato"
"sopravvivere","vi. (ricordo) to live on; essere sopravvivuto"
"sorgere","vi. <sorgo> (gener) to rise; (manifestarsi) to arise; essere sorto"
"sorprendere","vt. (stupire) to surprise; avere sorprenduto"
"sorprendersi","vr. ; essersi sorprenduto"
"sorridere","vi. (ridere) to smile; (apparire favorevole) to smile on; avere sorriduto"
"sospendere","vt. (appendere) to hang; (gener) to suspend; avere sospenduto"
"sostenere","vt. (reggere) to hold up; (spese) to bear; (persona, legge, famiglia) to support, (tesi, idea) to hold; (esame) to take; (affermare) to maintain; avere sostenuto"
"sostenersi","vr. (tenersi ritto) to support oneself; (mantenersi vigoroso) to keep in good shape; essersi sostenuto"
"sottomettere","vt. (popolo) to subjugate; avere sottomettuto"
"sottomettersi","vr. (assogettarsi) to submit; essersi sottomettuto"
"spalancare","vt. (porta, finestra) to fling open; (occhi, bocca, braccia) to open wide, (gambe) to spread; avere spalancato"
"spalancarsi","vr. (aprirsi) to open wide; essersi spalancato"
"spalmare","vt. to spread; avere spalmato"
"spargere","vt. <spargo> (semi, fiori) to scatter; (luce, calore, notizia) to spread; (liquidi) to spill, (lacrime, sangue) to shed; avere sparso"
"spargersi","vr. <spargo> (persone, animali) to scatter; (notizie, dicerie) to spread; essersi sparso"
"sparire","vi. <sparisco> to disappear; essere sparito"
"spedire","vt. <spedisco> (inviare) to send; avere spedito"
"spegnere","vt. <spengo> (fuoco, fiamma, sigaretta) to put out; (luce, radio, motore, apparecchio) to turn off; (entusiasmo) to extinguish; (sete) to quench; avere spento"
"spegnersi","vr. <spengo> (fuoco, sigaretta) to go out; (motore, apparecchio) to go off; (entusiasmo) to fizzle out; (morire) to pass away; essersi spento"
"spendere","vt. <spendo> (soldi, tempo) to spend; (impiegare: energie, forze) to expend; avere speso"
"sperare","vt. to hope; avere sperato"
